closest_distance_km,relative_velocity_km_s,altitude_difference_km,time_to_closest_sec,priority_difference,collision_risk
6.995,8.408,28.421,1076,0,0
6.201,8.845,22.77,1727,1,0
6.241,7.703,37.785,1034,2,0
6.714,4.586,24.169,3142,5,0
13.726,9.894,15.113,1262,0,0
0.594,6.379,6.388,1589,2,1
7.57,7.03,21.552,1198,2,0
11.648,8.915,24.007,2724,5,0
12.933,11.338,46.547,1506,1,0
13.078,8.5,26.905,1124,5,0
17.17,7.022,8.787,992,2,0
14.939,4.117,33.144,2775,5,0
16.329,7.472,12.754,664,3,0
13.479,8.845,23.695,2216,0,0
13.186,7.44,39.261,2459,0,0
9.83,9.225,11.233,289,1,0
8.724,6.927,0.502,1352,4,0
17.815,8.791,19.846,466,1,1
17.168,7.367,34.636,758,1,0
6.544,10.658,22.262,2172,2,0
9.53,5.719,0.78,896,0,0
11.99,7.083,2.013,1050,0,0
2.775,5.719,14.485,1372,0,0
8.311,6.788,11.756,2065,2,0
10.599,8.759,14.356,1229,1,0
8.634,9.452,11.041,2583,0,0
7.345,5.814,12.751,1622,2,0
8.709,8.621,7.865,847,2,0
18.154,7.639,25.499,788,1,0
13.926,2.403,17.039,2458,7,0
12.782,5.395,13.481,2391,3,0
13.485,6.06,33.321,1444,0,1
3.072,11.019,23.563,1641,5,1
7.683,3.831,43.538,3259,0,0
8.309,7.494,18.335,1099,0,0
7.684,6.768,29.4,1308,0,0
9.945,9.526,22.117,1287,2,0
14.793,10.58,15.362,414,7,0
16.042,7.23,21.204,3337,1,1
15.025,7.185,14.893,708,4,0
12.763,10.512,34.841,3135,0,0
12.829,9.514,6.806,2239,6,0
11.062,7.634,14.713,962,3,0
4.139,5.561,15.707,1172,0,0
9.881,2.033,28.941,2430,6,0
12.067,8.206,29.764,1928,1,0
6.997,10.037,32.545,1272,1,0
10.732,6.965,3.4,882,1,0
12.804,6.469,18.566,1729,9,0
9.986,5.743,16.074,1878,0,0
9.837,9.351,36.307,2753,0,0
3.719,6.721,6.276,841,0,0
11.708,7.313,15.762,1705,2,0
13.844,5.685,28.661,984,2,0
9.711,6.293,53.763,177,1,0
14.075,7.669,15.838,1564,0,0
13.367,7.164,29.97,1431,0,0
9.752,10.073,11.512,2833,0,0
10.094,10.268,36.74,2033,0,0
8.166,10.217,16.733,863,0,0
11.068,6.289,30.247,2539,10,0
13.151,7.72,33.199,1889,1,0
16.638,8.616,24.608,1048,0,0
16.271,7.014,32.497,2157,4,0
7.405,4.666,24.936,218,1,0
11.158,9.107,28.418,2050,2,0
10.86,7.193,33.409,913,0,0
16.723,6.746,14.234,2169,1,0
13.459,10.174,7.887,911,4,0
3.194,7.12,10.4,3369,4,0
9.44,7.497,23.451,2423,4,0
4.508,7.215,32.956,1580,8,0
9.187,7.073,14.354,1796,0,0
10.926,3.658,15.487,1358,1,0
4.209,7.719,23.334,1463,0,0
15.252,8.023,40.551,875,1,0
14.91,6.95,14.055,2141,0,0
11.6,4.275,40.963,2088,2,0
14.61,5.602,10.531,1284,0,0
9.448,9.538,31.143,2598,0,0
13.217,12.555,4.463,733,1,0
1.805,9.944,48.214,3262,1,1
12.845,9.757,1.61,1952,2,0
16.327,10.716,14.157,2303,0,0
11.479,8.758,23.394,904,4,0
7.604,8.409,7.68,1767,1,0
1.645,6.315,8.903,1512,4,1
11.428,9.59,33.656,2942,1,0
18.074,8.235,27.137,3163,1,0
6.221,10.991,46.797,925,0,0
12.189,4.593,5.037,1278,8,0
12.616,9.834,14.254,2035,1,0
7.786,5.331,18.309,1129,4,0
14.63,10.108,31.939,913,0,0
6.716,11.624,27.366,357,0,0
5.617,9.338,24.166,1775,0,0
14.917,9.074,0.701,2654,7,0
10.339,5.69,12.333,1343,6,0
8.555,11.645,22.788,283,3,0
14.484,8.066,3.658,2154,0,0
7.573,5.466,22.457,1647,6,0
10.051,6.292,5.385,2701,8,0
10.938,9.682,26.913,1339,0,0
6.021,6.754,26.54,2778,1,0
15.457,12.607,26.283,2055,3,0
11.985,3.548,24.937,1701,4,0
7.315,6.174,27.938,1018,5,0
6.518,9.647,26.097,2773,5,0
17.46,9.508,4.64,902,8,0
11.709,8.903,33.644,763,0,0
7.04,7.72,1.193,1301,2,1
7.057,6.685,1.142,1934,5,0
18.137,7.875,9.968,1239,2,0
11.529,8.252,11.992,1115,0,0
8.816,6.528,19.739,988,0,0
3.779,8.846,29.353,2631,4,0
5.599,7.59,12.819,2092,2,0
17.323,11.871,10.563,1717,4,0
12.8,2.796,8.834,1601,2,0
8.386,9.396,1.371,1424,2,0
8.871,7.405,43.037,1162,5,1
7.035,5.778,6.461,2937,1,0
3.796,8.274,18.013,778,4,0
5.939,6.334,11.009,1056,0,0
8.687,9.868,13.357,1197,1,0
3.799,7.669,24.589,2872,2,0
8.661,9.234,35.79,170,1,0
12.953,10.032,21.148,1855,1,0
0.798,7.293,29.647,771,0,1
13.41,6.699,10.996,1369,1,0
14.621,8.587,21.333,589,1,0
11.442,10.876,19.865,860,3,0
19.242,9.552,30.776,1094,0,0
8.626,7.454,64.187,1354,4,1
13.361,6.177,14.796,1289,5,0
5.26,9.035,33.826,1562,0,0
14.153,2.148,34.2,1541,0,0
13.499,7.448,24.571,2036,5,0
15.101,9.027,10.722,1628,3,0
6.585,11.394,24.839,2936,1,0
7.726,6.109,23.832,1832,0,0
3.379,6.407,13.023,2929,0,0
5.79,4.357,1.24,3093,2,0
6.759,9.505,47.773,1655,3,0
12.707,7.365,53.828,1922,6,0
11.177,4.161,22.548,2254,2,0
3.244,6.304,21.307,1250,0,0
8.534,4.22,32.158,1073,2,0
10.666,10.004,17.92,1060,8,0
10.087,2.19,20.3,2090,1,0
5.836,4.591,13.454,1604,2,0
5.154,6.241,34.838,1276,4,0
9.303,10.516,34.152,2488,0,0
17.335,11.823,31.937,2712,5,0
15.193,9.006,30.826,1474,0,0
9.358,7.166,21.57,1534,0,0
19.018,9.777,9.774,2623,0,0
6.506,9.099,24.766,1635,4,0
10.118,8.198,33.587,1460,0,0
13.853,7.819,19.634,879,3,0
14.586,5.768,28.266,713,0,0
8.613,7.453,33.172,1530,1,0
13.687,8.47,38.331,775,1,0
12.661,9.328,2.543,1277,0,0
17.892,8.059,4.052,2240,1,0
18.04,7.262,21.512,1464,0,0
12.767,8.043,31.743,2406,7,0
11.666,5.364,5.803,1744,3,0
13.23,10.305,56.986,1281,8,0
10.575,8.985,22.551,889,0,0
11.672,6.781,44.995,1111,2,0
14.876,4.237,9.733,698,4,0
8.772,9.345,36.632,937,0,0
7.817,8.53,33.952,1083,2,0
15.119,8.741,55.885,2363,2,0
7.864,6.173,43.628,2080,0,0
8.853,9.843,18.072,1870,6,1
10.901,7.231,3.985,425,7,0
12.431,4.092,8.917,1326,5,0
14.476,7.411,18.886,1048,1,0
9.944,3.649,34.056,1222,0,0
10.821,10.545,46.086,1430,2,0
8.154,7.451,15.375,1590,7,0
8.812,4.108,23.626,1066,1,0
8.735,11.103,14.932,2123,0,0
7.033,5.174,7.666,340,4,0
2.271,6.801,29.736,1679,0,0
13.498,6.329,11.423,1796,1,0
6.848,7.43,33.724,1500,1,0
13.181,11.506,8.766,879,2,0
15.084,6.111,11.318,1387,1,0
11.336,10.933,49.517,1382,7,0
12.012,5.23,9.997,997,5,0
8.467,8.636,20.217,1088,1,0
3.994,11.142,24.364,2984,5,0
10.954,4.422,25.25,1962,3,0
8.947,7.003,0.647,483,1,0
15.771,6.331,43.622,1558,0,0
13.77,9.609,18.04,1356,9,0
16.59,7.964,18.255,1930,0,0
15.747,5.324,43.764,1288,2,0
15.284,3.73,7.626,134,0,1
2.388,9.004,38.371,1235,2,0
15.555,9.107,40.872,2025,2,0
9.443,6.045,10.691,2521,1,0
3.39,9.032,43.664,563,0,1
13.545,9.19,2.055,303,1,0
7.759,8.311,49.19,2276,3,0
17.243,7.334,39.04,2064,1,0
16.141,7.508,6.678,3010,2,0
10.477,8.877,6.459,1609,5,0
10.812,4.127,13.111,1832,0,0
7.655,7.708,14.838,2132,1,0
8.334,8.145,32.477,1174,0,0
14.022,5.539,17.063,2594,1,0
3.201,7.214,29.196,1057,3,0
14.35,8.557,24.555,2396,5,0
3.362,8.008,20.104,931,2,0
11.782,9.241,21.131,1196,6,0
11.265,5.912,33.988,2121,1,0
12.3,6.533,17.026,298,0,0
9.552,9.047,23.714,2085,0,0
11.878,8.505,29.747,1557,2,0
6.066,3.042,46.901,2614,2,0
12.795,8.495,42.475,1735,0,0
11.398,7.539,7.266,1162,0,0
9.319,6.551,25.234,1837,0,0
7.774,10.943,57.065,1490,8,0
8.477,9.466,40.878,379,1,0
7.379,6.536,7.556,1960,2,0
11.6,7.84,36.801,1421,2,0
16.497,7.054,39.559,1101,3,0
10.466,7.951,25.731,1717,5,0
15.976,9.931,27.414,2666,0,0
13.17,6.38,11.057,1372,7,0
4.77,6.929,17.157,2309,3,0
12.759,6.222,60.351,1328,7,0
5.068,9.087,27.679,1716,0,0
7.444,9.584,15.868,1155,0,0
12.774,9.546,27.785,1270,0,0
7.907,3.467,27.3,2610,0,0
15.687,5.727,1.394,1262,3,0
18.533,7.538,28.435,774,2,0
12.334,7.274,36.322,1412,0,0
14.723,5.765,22.547,1791,9,0
16.648,9.82,25.448,2742,1,0
3.692,6.252,10.259,2992,2,1
7.688,11.822,36.336,2587,0,0
8.811,9.91,13.84,591,0,0
10.625,5.471,16.206,1246,5,0
11.806,4.757,1.416,1348,2,0
7.871,9.094,36.111,1036,3,0
8.801,4.927,25.198,714,4,0
11.644,9.502,26.276,1354,3,0
15.247,7.56,1.813,1095,1,0
14.216,8.898,24.488,1539,1,0
13.891,3.409,5.288,2083,1,0
11.935,4.372,22.856,576,0,0
11.352,8.17,5.701,2260,2,0
4.145,6.499,29.588,2035,2,0
16.35,8.679,9.334,1145,0,0
6.374,6.097,10.486,1043,0,0
14.437,5.649,33.858,2180,5,0
10.002,6.292,25.313,2472,3,0
19.382,7.195,21.694,1770,8,0
14.721,6.849,21.994,3032,1,0
7.844,8.285,21.754,1673,2,0
10.088,9.985,11.998,488,3,0
1.907,5.725,37.909,1605,7,1
3.771,8.15,5.275,1942,0,0
14.381,4.438,38.982,2946,1,0
4.903,7.279,18.348,1867,0,0
13.655,10.359,14.357,384,0,0
4.668,7.911,4.194,1873,2,0
14.568,9.437,3.425,2177,0,0
15.879,8.253,21.108,1821,2,0
11.073,5.141,32.923,775,5,0
7.668,9.399,38.794,1026,0,0
3.217,5.192,22.535,1710,0,0
7.653,7.29,10.759,1658,2,0
12.889,10.597,22.556,994,1,0
16.054,4.963,20.095,2080,4,0
16.632,11.223,5.274,2425,2,0
14.494,11.381,62.04,1924,0,0
8.29,7.5,3.469,660,6,0
14.947,7.622,44.641,1876,4,0
12.48,8.831,16.883,3120,0,0
8.392,5.726,33.045,1245,0,0
14.21,7.531,24.467,2153,1,1
7.953,9.1,9.636,888,0,0
11.402,5.169,34.513,1900,7,0
9.584,7.187,19.121,1966,1,0
14.232,7.082,13.049,2307,1,0
10.906,8.31,8.765,1186,1,0
1.408,6.288,12.569,413,1,0
16.625,7.188,31.106,3084,2,0
12.433,8.741,3.451,1167,0,1
5.947,10.487,30.633,1220,0,0
6.752,2.451,18.552,1230,7,1
17.336,10.112,42.625,1227,0,0
10.56,7.589,30.093,1600,4,0
8.102,4.911,9.996,2477,1,0
10.544,9.815,11.582,1568,0,0
11.879,8.687,37.815,121,2,1
4.802,8.327,22.689,1255,3,0
7.249,8.011,4.998,2179,2,0
14.796,9.112,13.559,1045,8,0
6.736,8.607,9.961,1169,1,0
6.581,4.125,26.843,1051,1,0
9.31,4.134,27.28,1474,1,0
16.036,5.491,51.043,1300,2,0
3.292,4.364,32.979,2016,5,0
10.044,7.532,35.979,2737,0,0
12.295,9.069,31.856,1011,6,0
15.274,8.742,33.962,2766,0,0
6.435,10.469,18.36,2868,1,0
8.263,5.781,41.153,2143,3,0
17.002,9.209,29.948,1305,5,0
11.804,8.554,6.93,326,7,0
18.021,10.375,38.505,1261,1,0
11.156,8.158,12.412,955,2,0
17.427,6.968,1.869,1128,4,0
13.354,7.442,4.981,1433,3,0
10.078,8.118,30.128,302,4,0
4.53,5.572,28.133,1416,4,0
16.675,7.08,10.87,1489,0,0
9.635,9.34,16.969,2753,2,0
12.739,5.855,25.145,2908,1,0
15.171,8.132,14.499,1985,0,0
3.484,8.248,17.106,1222,0,0
8.022,5.535,3.68,481,1,0
8.822,5.845,9.496,1236,2,0
11.854,8.748,12.931,1350,6,0
11.466,4.657,34.828,1694,0,0
11.76,3.308,7.802,258,4,0
11.224,8.769,45.241,2883,2,0
9.494,7.607,20.236,2229,2,0
3.924,3.282,26.28,2609,2,0
16.426,6.717,27.825,249,0,0
1.33,6.264,10.387,1756,2,0
7.38,6.348,41.855,2236,1,0
6.883,11.817,26.159,2050,0,0
8.055,8.737,50.398,2725,0,0
18.177,6.643,6.14,1954,0,0
5.331,4.088,5.05,951,4,0
13.201,7.824,22.878,260,2,0
5.199,7.11,16.816,1355,4,0
10.231,8.465,35.563,1533,0,0
9.982,5.52,39.949,491,4,0
9.372,8.714,12.472,1057,0,0
5.693,5.451,15.557,1063,0,0
8.145,9.731,31.331,2206,0,0
19.228,7.513,28.728,2189,5,0
3.654,5.467,44.441,720,3,0
9.746,7.374,28.343,1315,5,0
13.107,5.746,23.145,1595,0,0
6.425,6.886,32.683,2343,6,0
5.031,9.048,37.366,1350,0,0
6.43,3.882,23.486,338,0,1
13.439,8.364,14.695,597,5,1
15.214,8.567,28.003,2407,0,1
5.499,5.625,23.441,2264,2,0
14.677,3.836,8.541,2359,2,0
12.799,4.97,18.407,876,2,0
5.438,6.947,1.172,2207,0,1
10.374,6.917,51.439,1281,3,0
10.052,8.804,3.058,1757,4,0
9.026,6.611,20.776,1951,2,0
10.884,7.957,17.403,1636,1,0
11.599,5.414,37.844,1018,0,0
8.814,7.067,7.873,3158,1,0
4.921,5.9,13.45,2775,2,0
11.5,5.344,20.832,1181,2,0
11.09,5.714,20.962,979,2,0
7.361,8.939,21.435,1216,4,0
14.251,7.932,8.577,1957,5,0
17.929,8.594,17.605,1791,2,0
3.795,5.985,21.945,2408,8,0
11.167,8.105,33.31,1924,0,0
4.205,4.577,13.178,807,2,1
1.559,7.206,22.147,1252,0,1
3.429,5.165,10.546,1435,0,0
15.435,7.248,7.662,2608,0,0
14.109,6.756,33.294,790,4,0
6.912,6.598,2.554,2152,4,1
16.696,8.624,33.683,2483,5,0
13.293,8.241,27.135,1306,5,0
14.653,11.955,25.395,1118,1,1
14.879,5.42,32.224,1237,7,0
10.467,12.539,4.037,1939,2,0
8.747,6.539,21.576,1002,1,0
4.554,1.111,22.346,1090,0,0
5.669,4.89,40.741,3039,7,0
8.791,8.417,23.234,1518,5,0
7.682,9.845,19.824,1065,1,0
12.915,5.895,0.751,720,2,0
15.122,6.153,15.807,1217,0,0
8.758,8.42,34.304,516,5,0
11.321,7.206,28.413,2518,2,0
14.416,8.581,1.068,900,0,0
13.187,7.325,22.714,1419,1,0
12.933,5.578,9.45,1338,6,0
10.578,8.644,17.616,675,3,0
18.057,9.931,0.462,1184,4,0
6.241,8.307,22.994,1052,0,0
7.279,6.98,29.706,1379,1,0
7.463,8.315,12.072,2013,1,0
10.071,9.065,7.934,531,2,0
9.103,9.015,41.935,2368,0,0
7.868,10.939,39.558,1323,2,0
12.817,9.377,18.258,1169,1,0
13.226,8.574,2.992,2353,1,0
11.745,7.521,0.353,2508,0,0
8.716,5.263,37.293,905,8,0
10.861,5.53,12.715,1121,5,0
16.258,3.8,30.663,917,6,0
10.247,11.213,6.292,1877,0,0
14.83,6.709,12.149,1150,2,0
7.608,6.74,26.107,1282,1,0
11.917,6.098,23.089,700,2,0
4.23,9.366,12.721,1634,1,0
18.841,6.738,37.0,597,1,0
11.761,9.951,14.092,2576,0,0
16.064,9.148,18.386,1474,0,0
11.858,5.651,10.681,323,2,0
11.287,8.279,29.604,391,2,0
11.56,6.04,1.111,1637,0,0
11.628,8.579,1.719,2435,3,0
12.37,2.714,32.098,995,3,0
1.891,5.089,16.833,2282,0,1
10.132,4.12,40.106,1109,0,0
11.219,7.623,8.274,839,1,0
5.173,9.067,48.099,1380,2,0
11.401,6.096,0.131,3097,6,0
13.972,4.627,24.694,2371,0,0
10.892,8.82,54.592,1299,2,0
11.671,8.98,33.547,324,0,0
15.73,8.63,28.22,990,5,0
6.502,6.624,9.984,2681,0,0
5.357,9.709,14.469,2168,0,0
10.605,7.511,9.593,2490,10,0
8.331,7.346,29.402,1947,2,0
14.457,6.31,6.942,2590,4,0
10.67,3.882,9.319,1264,0,0
15.066,5.626,23.376,795,2,0
12.45,9.707,13.799,1621,0,0
12.85,6.202,18.311,1673,5,0
8.867,11.282,23.993,1095,0,0
7.215,9.354,24.493,1599,2,0
13.326,8.885,17.681,1578,1,0
14.895,6.443,41.577,2571,8,0
12.012,11.753,26.115,1169,0,0
16.929,7.394,33.822,1535,1,0
14.102,4.362,31.194,938,0,0
9.987,6.947,50.324,1120,0,0
7.577,5.454,23.406,2115,4,0
13.622,6.194,20.423,721,7,0
18.094,10.692,5.474,1157,1,0
9.947,8.735,35.766,2357,1,0
6.297,9.763,14.808,1189,5,0
7.851,10.008,5.513,788,0,0
4.425,8.359,21.301,1110,7,0
11.241,4.543,65.644,1338,1,0
7.437,9.402,23.741,1268,0,0
8.405,5.318,28.32,3209,4,0
6.787,12.091,14.651,2462,3,0
5.037,7.642,4.464,3433,4,0
9.636,9.962,10.621,1047,1,0
7.928,7.171,18.463,3116,0,0
17.92,6.947,15.977,998,8,0
8.007,7.586,8.733,2435,1,1
16.466,7.618,27.314,2245,2,0
10.874,6.239,26.722,588,0,0
10.822,4.914,3.029,2242,10,0
8.603,5.113,50.486,1121,1,0
11.734,4.426,8.337,1335,7,0
12.078,8.511,10.693,1705,1,0
10.899,9.937,22.542,2173,6,0
8.503,9.418,21.022,1704,0,0
10.519,7.829,9.146,1387,9,1
4.94,5.622,6.084,2207,1,0
5.071,4.714,29.531,1442,5,0
9.143,8.754,4.508,1351,1,0
13.062,4.016,19.779,1722,7,0
10.843,7.031,3.959,2041,0,0
9.046,9.004,23.127,1659,4,0
6.483,9.206,6.113,1352,2,0
10.082,9.981,25.212,1065,0,0
12.992,6.791,18.614,816,4,0
10.266,12.148,10.165,1033,2,0
10.451,8.056,26.348,1483,0,0
13.396,4.375,15.31,756,0,0
17.227,10.063,32.873,2634,2,0
12.807,6.201,0.254,1279,3,0
14.334,8.036,14.063,1687,0,0
9.158,6.771,0.725,1822,1,1
8.601,5.683,34.786,1769,1,0
4.914,9.645,26.095,1159,7,0
11.592,9.248,30.454,1110,0,0
6.878,6.506,2.135,1815,2,0
2.513,9.062,28.286,2205,2,0
10.046,6.869,20.922,1389,1,0
7.754,10.696,5.706,2818,8,0
9.446,6.976,35.911,1847,1,0
14.57,8.384,11.29,3048,0,0
7.449,11.169,12.982,2015,2,0
4.582,4.822,22.259,1207,3,1
4.883,9.212,32.484,598,0,0
13.057,7.538,3.839,2146,0,0
5.145,4.077,36.47,778,0,0
12.776,8.649,55.977,1403,2,0
6.805,7.792,39.246,1640,9,0
15.812,7.116,36.01,2134,0,0
14.462,10.466,23.069,1209,2,0
16.78,6.859,6.97,1421,0,0
3.929,10.549,10.065,971,5,1
8.022,6.988,37.226,1075,4,0
11.335,10.752,26.725,2019,0,0
6.164,5.996,4.897,360,0,0
9.015,8.572,37.289,2454,0,0
12.143,6.358,27.779,1238,2,0
17.491,2.386,3.388,1303,0,0
17.163,8.469,43.163,1235,2,0
14.946,6.54,3.868,351,1,0
16.947,3.917,23.155,2017,4,0
4.524,6.132,37.092,1575,0,0
13.457,8.404,31.047,1375,1,0
15.616,6.993,16.04,1450,1,0
18.756,5.162,45.086,1007,1,0
5.77,4.656,21.368,1061,2,0
1.042,6.339,51.897,489,2,1
5.198,10.288,9.809,2453,1,0
15.565,4.61,9.077,804,0,0
15.981,5.677,24.859,1510,5,0
10.468,7.482,7.441,3317,0,0
10.465,8.772,38.39,149,0,0
2.83,7.962,8.001,1400,8,0
16.369,9.361,42.426,1318,0,0
9.426,5.669,28.792,899,1,0
7.849,8.801,40.203,2289,0,0
13.67,10.021,43.355,1081,1,0
13.65,9.013,10.785,2456,6,0
16.035,5.678,30.414,1514,0,0
8.058,7.297,25.943,2624,2,0
2.904,3.672,42.889,2651,3,0
11.523,10.227,44.75,1331,3,0
9.155,6.3,36.323,1029,1,0
15.708,3.477,25.909,2240,0,0
2.155,10.884,45.787,1400,0,0
15.15,6.525,16.499,1992,7,0
5.899,6.345,18.628,2115,4,0
8.538,7.241,34.919,546,2,1
13.31,7.5,24.637,1354,0,0
14.06,6.005,20.711,2905,0,0
17.642,5.932,30.778,1044,0,0
17.834,4.172,33.775,2079,2,0
15.247,7.306,18.622,1581,2,0
8.586,6.633,21.778,1659,2,0
10.13,8.693,15.534,1376,1,0
6.009,7.712,29.613,1329,5,0
8.345,7.47,0.82,802,0,0
16.04,8.33,6.916,1572,3,0
9.58,7.161,5.94,1048,0,0
12.137,6.126,4.822,1138,1,0
12.013,8.433,37.198,2185,1,0
10.957,6.64,28.906,857,1,0
4.868,5.084,19.908,1595,0,0
11.814,8.144,10.699,1250,0,0
15.998,5.749,28.904,1777,2,0
14.761,6.838,27.778,1830,0,0
8.53,8.896,22.094,833,0,0
6.625,7.382,41.254,1558,7,0
10.733,7.685,29.196,1883,9,0
7.607,9.418,1.176,1860,0,0
3.095,8.142,15.125,1376,1,0
2.436,9.334,26.807,859,1,0
12.348,9.203,10.942,2094,10,0
9.902,3.525,12.459,509,6,0
13.064,6.972,10.238,1261,5,0
6.599,2.93,49.387,1556,4,0
8.229,4.675,27.776,1835,0,0
8.698,6.6,2.014,1197,0,0
9.711,11.564,46.924,312,1,0
7.696,9.03,5.318,1472,2,0
10.735,6.847,41.839,858,6,0
7.757,5.127,49.88,1306,1,0
15.229,5.426,29.403,2342,3,0
10.238,9.787,9.686,2766,2,0
11.982,8.47,9.605,1494,0,0
8.877,7.379,17.56,624,1,0
8.036,7.084,24.902,2611,0,0
1.748,9.509,15.371,2205,7,1
8.685,4.773,47.056,614,1,0
14.886,8.176,40.986,1472,0,0
18.46,7.93,28.419,1228,2,1
14.756,5.792,8.126,752,1,0
11.762,6.824,2.51,1723,0,0
12.106,7.147,37.166,1444,8,0
10.068,6.902,33.722,1315,3,0
18.18,9.99,1.649,912,1,0
11.1,7.064,50.134,700,0,0
5.273,7.714,24.154,1912,3,0
11.828,5.697,17.801,467,2,0
0.558,6.911,13.94,1722,0,1
12.882,9.458,29.943,714,5,0
8.744,9.816,8.886,2058,4,0
11.542,10.595,6.41,2757,2,0
7.718,5.201,0.496,1127,3,0
1.107,10.594,13.517,2871,2,1
4.191,8.679,4.448,967,2,1
13.158,3.145,26.049,1784,0,0
6.891,5.032,5.517,1329,2,0
14.211,6.623,5.987,1657,3,0
18.689,5.801,6.03,2508,10,0
12.926,0.994,11.174,945,0,0
5.437,8.906,4.958,2153,0,0
5.671,7.574,12.854,2704,2,0
10.839,10.172,42.208,1044,0,0
12.592,5.466,7.508,2201,1,0
19.094,7.359,27.78,1364,9,0
13.205,8.821,5.518,1468,8,0
7.912,8.013,14.259,2525,5,0
11.034,6.96,25.765,1480,3,0
8.736,4.348,34.467,1364,0,0
9.307,6.888,20.29,1892,1,0
11.51,8.578,56.459,821,3,0
10.806,7.3,8.659,1041,0,0
6.306,5.103,29.11,2915,4,0
11.767,7.464,34.9,541,1,0
9.966,9.196,29.761,1542,0,0
4.717,5.219,27.51,3068,8,0
13.648,9.824,14.568,1683,1,0
2.15,4.712,0.488,807,2,1
11.611,8.569,12.282,1729,2,0
16.604,9.1,34.555,910,5,0
12.64,6.76,7.078,2371,7,0
3.999,9.202,47.427,2681,0,0
6.888,7.154,21.11,1777,0,0
7.033,9.337,13.9,647,9,0
15.254,7.069,9.421,1385,3,0
9.206,6.307,0.079,581,1,0
12.324,11.398,28.379,2310,0,0
8.666,6.546,27.144,2184,0,0
13.081,9.262,18.228,1471,3,1
4.758,6.98,5.464,2295,0,0
16.913,7.952,48.047,2063,5,0
6.805,9.331,17.937,608,3,0
10.381,8.114,14.84,2462,2,0
10.237,3.107,22.191,2550,1,0
14.844,7.615,19.142,1321,1,0
14.348,7.268,20.395,486,5,1
12.953,4.136,27.34,745,4,0
11.892,6.741,37.472,1498,1,0
7.918,4.309,25.554,1745,0,0
8.994,7.531,19.087,1681,1,0
9.49,8.958,17.948,619,0,0
1.567,7.848,11.002,1568,6,1
4.686,7.214,8.208,646,0,0
8.773,6.401,18.903,1186,0,0
15.506,7.464,23.628,1148,5,0
10.531,8.399,0.373,1296,1,1
8.195,4.151,13.266,407,0,0
9.619,9.529,13.735,2724,1,1
9.362,8.334,32.663,2836,2,0
14.063,7.471,2.767,1569,0,0
15.778,10.486,14.165,1620,2,0
11.495,11.713,47.822,1604,0,0
15.521,5.79,17.746,2425,4,0
7.118,6.121,7.248,385,0,0
10.343,12.048,32.281,797,4,0
12.623,7.671,41.753,2094,4,0
4.829,9.708,5.743,1762,2,0
11.485,9.155,10.373,2299,0,0
18.784,5.715,19.57,431,2,0
5.505,4.724,18.546,2481,1,0
10.607,10.267,18.937,1052,1,0
11.344,7.535,41.649,1051,9,0
3.706,4.599,18.445,2619,0,0
15.266,9.027,22.399,2843,0,0
15.149,11.503,41.96,1680,0,0
1.89,10.98,21.584,1297,2,1
11.725,8.937,8.613,1674,2,0
18.126,5.934,27.999,3122,0,0
11.791,8.29,24.849,483,0,0
6.309,10.735,21.381,866,4,0
17.866,2.417,19.206,1453,1,0
12.779,8.678,30.702,1502,8,0
7.307,7.529,42.164,730,0,0
10.207,3.623,23.87,575,1,0
3.943,10.1,10.9,1427,0,0
8.969,7.275,28.233,1825,0,0
8.504,8.121,21.902,2036,1,0
9.268,7.98,3.099,1368,4,0
5.176,7.135,30.618,2600,4,0
12.313,6.98,16.154,1064,1,0
3.651,7.054,21.287,2754,1,0
2.771,9.14,10.411,2353,4,0
12.093,6.055,3.769,1313,2,0
18.849,7.641,28.334,2030,1,0
8.137,4.656,25.753,1791,6,0
7.063,5.097,5.065,1083,0,1
17.869,5.776,17.618,1047,0,0
11.513,5.792,14.166,934,1,0
12.624,4.952,39.855,1943,0,0
11.459,8.233,16.957,755,10,0
4.001,10.127,14.658,2031,3,0
15.321,6.771,6.052,2291,3,0
8.448,6.484,22.028,1464,5,0
2.263,6.47,37.97,1699,0,0
9.49,7.648,19.921,2447,0,0
12.08,3.197,21.606,2171,4,0
14.276,6.256,32.988,612,8,0
11.66,9.829,33.148,546,0,0
15.239,2.928,19.317,1053,4,0
2.496,6.618,13.792,980,1,0
13.694,8.88,23.711,1599,0,0
17.324,4.191,20.113,2379,1,0
17.47,6.936,10.041,1726,1,0
16.159,6.95,0.163,2263,9,1
9.005,9.929,40.66,2087,5,0
14.889,4.181,9.413,3203,3,0
9.743,8.068,9.885,2139,1,0
11.369,10.329,48.269,1398,5,0
15.519,10.387,16.404,1272,3,0
13.199,6.886,24.704,768,3,0
9.275,7.941,33.952,1146,5,0
9.591,8.61,35.812,2496,3,0
10.94,7.032,20.32,765,10,0
12.529,11.299,57.599,1758,0,0
6.884,4.131,31.865,1087,2,0
11.426,5.286,33.991,637,7,0
4.634,12.422,44.61,981,3,0
5.258,6.069,24.402,2250,1,0
11.797,8.034,28.419,817,0,0
1.113,8.876,25.391,3199,2,0
17.252,6.618,27.072,2748,2,0
9.087,8.444,0.437,1504,0,0
14.964,6.619,35.516,2035,2,0
11.892,9.571,18.454,646,1,0
9.171,5.532,21.797,1601,0,0
5.651,9.507,23.105,2539,1,0
12.25,6.747,12.042,2202,3,1
